
> meinumzugsrechner@0.1.0 start
> npx serve out -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  23.4.2026 23:00:07 ::1 GET /_next/static/chunks/app/page-5ec430826b5a3453.js
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:00:07 ::1 GET /produkttipps.webp
 HTTP  23.4.2026 23:00:07 ::1 GET /herohintergrund.webp
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:42 ::1 GET /rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:42 ::1 GET /so-rechnen-wir/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:42 ::1 Returned 200 in 5 ms
 HTTP  23.4.2026 23:02:42 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:42 ::1 GET /_next/static/chunks/app/rechner/page-b1df0aeebb292f00.js
 HTTP  23.4.2026 23:02:42 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:42 ::1 GET /_next/static/chunks/app/so-rechnen-wir/page-ef341a66506ffb14.js
 HTTP  23.4.2026 23:02:42 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:50 ::1 GET /
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:50 ::1 GET /_next/static/css/7491c0b9899566f5.css
 HTTP  23.4.2026 23:02:50 ::1 GET /logo.webp
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:50 ::1 GET /_next/static/chunks/webpack-5e5ed07fab1e2297.js
 HTTP  23.4.2026 23:02:50 ::1 GET /_next/static/chunks/4bd1b696-c023c6e3521b1417.js
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:50 ::1 GET /_next/static/chunks/255-dda36e826969d334.js
 HTTP  23.4.2026 23:02:50 ::1 GET /_next/static/chunks/main-app-2e43a0ff843587c1.js
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:50 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/239-17c63ab2a4f7ef9b.js
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/619-ba102abea3e3d0e4.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/layout-ba2f158f55dbb2a9.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/462-56e7946bd0a4d3c4.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/page-5ec430826b5a3453.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 4 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /herohintergrund.webp
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 9 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/media/98dc02b750625047-s.woff2
 HTTP  23.4.2026 23:02:51 ::1 GET /checklisten.webp
 HTTP  23.4.2026 23:02:51 ::1 GET /berechnung.webp
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 5 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /logo.png
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 8 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /so-rechnen-wir/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /kartonrechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /lkw-rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /ratgeber/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 6 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 6 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/rechner/page-b1df0aeebb292f00.js
 HTTP  23.4.2026 23:02:51 ::1 GET /ratgeber/ergonomie/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/so-rechnen-wir/page-ef341a66506ffb14.js
 HTTP  23.4.2026 23:02:51 ::1 GET /ratgeber/profi-guide-verpacken/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/kartonrechner/page-14a82cfffa32cfc5.js
 HTTP  23.4.2026 23:02:51 ::1 GET /ratgeber/moderne-umzugslogistik/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/lkw-rechner/page-0f5943dbd8579a3e.js
 HTTP  23.4.2026 23:02:51 ::1 GET /ratgeber/steuerspartipps/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 4 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 6 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 9 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 8 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 9 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/ratgeber/page-9c735b551bcfa017.js
 HTTP  23.4.2026 23:02:51 ::1 GET /checklisten/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/ratgeber/ergonomie/page-98f07d842c129712.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 6 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /checklisten/umzugs-countdown/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 6 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/ratgeber/profi-guide-verpacken/page-98f07d842c129712.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /checklisten/essential-kit/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/ratgeber/moderne-umzugslogistik/page-98f07d842c129712.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /checklisten/standort-vorbereitung/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/ratgeber/steuerspartipps/page-98f07d842c129712.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 5 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /materialtipps/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 7 ms
